dev2.latency.com,small payload,19
dev2.latency.com,small payload,6
dev2.latency.com,small payload,10
dev2.latency.com,small payload,6
dev2.latency.com,small payload,6
dev2.latency.com,small payload,8
dev2.latency.com,small payload,7
dev2.latency.com,small payload,7
dev2.latency.com,small payload,6
dev2.latency.com,small payload,6
dev2.latency.com,small payload,5
dev2.latency.com,small payload,5
dev2.latency.com,small payload,9
dev2.latency.com,small payload,5
dev2.latency.com,small payload,7
dev2.latency.com,small payload,6
dev2.latency.com,small payload,5
dev2.latency.com,small payload,7
dev2.latency.com,small payload,6
dev2.latency.com,medium payload,102
dev2.latency.com,medium payload,76
dev2.latency.com,medium payload,72
dev2.latency.com,large payload,1300
undefined, dev2.latency.com,small payload,19
undefined, dev2.latency.com,small payload,7
undefined, dev2.latency.com,small payload,6
undefined, dev2.latency.com,small payload,8
undefined, dev2.latency.com,small payload,7
undefined, dev2.latency.com,small payload,6
undefined, dev2.latency.com,small payload,5
undefined, dev2.latency.com,small payload,5
undefined, dev2.latency.com,small payload,6
undefined, dev2.latency.com,small payload,6
undefined, dev2.latency.com,small payload,10
undefined, dev2.latency.com,small payload,6
undefined, dev2.latency.com,small payload,5
undefined, dev2.latency.com,small payload,5
undefined, dev2.latency.com,small payload,5
undefined, dev2.latency.com,small payload,5
undefined, dev2.latency.com,small payload,6
undefined, dev2.latency.com,medium payload,87
undefined, dev2.latency.com,medium payload,96
undefined, dev2.latency.com,medium payload,84
undefined, dev2.latency.com,medium payload,96
undefined, dev2.latency.com,large payload,1339
undefined, dev2.latency.com,small payload,16
undefined, dev2.latency.com,small payload,6
undefined, dev2.latency.com,small payload,7
undefined, dev2.latency.com,small payload,8
undefined, dev2.latency.com,small payload,5
undefined, dev2.latency.com,small payload,5
undefined, dev2.latency.com,small payload,7
undefined, dev2.latency.com,small payload,6
undefined, dev2.latency.com,small payload,5
undefined, dev2.latency.com,small payload,5
undefined, dev2.latency.com,small payload,5
undefined, dev2.latency.com,small payload,7
undefined, dev2.latency.com,small payload,5
undefined, dev2.latency.com,small payload,6
undefined, dev2.latency.com,small payload,6
undefined, dev2.latency.com,small payload,6
undefined, dev2.latency.com,small payload,5
undefined, dev2.latency.com,small payload,5
undefined, dev2.latency.com,small payload,6
undefined, dev2.latency.com,small payload,6
undefined, dev2.latency.com,medium payload,90
undefined, dev2.latency.com,medium payload,102
undefined, dev2.latency.com,medium payload,83
undefined, dev2.latency.com,medium payload,108
undefined, dev2.latency.com,large payload,1362
127.0.0.1, dev2.latency.com,small payload,16
127.0.0.1, dev2.latency.com,small payload,8
127.0.0.1, dev2.latency.com,small payload,7
127.0.0.1, dev2.latency.com,small payload,6
127.0.0.1, dev2.latency.com,small payload,5
127.0.0.1, dev2.latency.com,small payload,10
127.0.0.1, dev2.latency.com,small payload,7
127.0.0.1, dev2.latency.com,small payload,6
127.0.0.1, dev2.latency.com,small payload,5
127.0.0.1, dev2.latency.com,small payload,5
127.0.0.1, dev2.latency.com,small payload,6
127.0.0.1, dev2.latency.com,small payload,6
127.0.0.1, dev2.latency.com,small payload,5
127.0.0.1, dev2.latency.com,small payload,5
127.0.0.1, dev2.latency.com,small payload,5
127.0.0.1, dev2.latency.com,small payload,6
127.0.0.1, dev2.latency.com,small payload,6
127.0.0.1, dev2.latency.com,small payload,6
127.0.0.1, dev2.latency.com,small payload,5
127.0.0.1, dev2.latency.com,medium payload,76
127.0.0.1, dev2.latency.com,medium payload,93
127.0.0.1, dev2.latency.com,medium payload,71
127.0.0.1, dev2.latency.com,medium payload,86
127.0.0.1, dev2.latency.com,large payload,1283
